Neighbourhood
Template:Historic Districts in San Diego County
Template:Neighborhoods of San Diego
"Allied Gardens, San Diego"
"Alta Vista, San Diego"
"Alvarado Estates, San Diego"
"Azalea Park, San Diego"
"Bankers Hill, San Diego"
"Barrio Logan, San Diego"
"Bay Terraces, San Diego"
"Bird Rock, San Diego"
"Birdland, San Diego"
"Black Mountain Ranch, San Diego"
"Broadway Heights, San Diego"
"Burlingame, San Diego"
"Carmel Mountain Ranch, San Diego"
"Chollas View, San Diego"
"City Heights, San Diego"
"Civita, San Diego"
"Clairemont, San Diego"
"College Area, San Diego"
"Columbia, San Diego"
"Core, San Diego"
"Cortez Hill, San Diego"
"Del Cerro, San Diego"
"Del Mar Heights, San Diego"
"Del Mar Mesa, San Diego"
Downtown San Diego
Dryden Historic District (San Diego)
"East Elliott, San Diego"
"East Village, San Diego"
"Egger Highlands, San Diego"
"El Cerrito, San Diego"
El Pueblo Ribera
"Emerald Hills, San Diego"
"Encanto, San Diego"
"Fairmount Park, San Diego"
Fairway Village
"Gaslamp Quarter, San Diego"
"Gateway, San Diego"
"Golden Hill, San Diego"
"Grant Hill, San Diego"
"Grantville, San Diego"
"Harbor Island, San Diego"
"Harborview, San Diego"
"Hillcrest, San Diego"
"Islenair, San Diego"
"Jamacha, San Diego"
"Kearny Mesa, San Diego"
"Kensington, San Diego"
La Jolla
"La Jolla Village, San Diego"
"La Playa, San Diego"
"Lincoln Park, San Diego"
"Linda Vista, San Diego"
"Little Italy, San Diego"
"Logan Heights, San Diego"
"Loma Portal, San Diego"
"Lomita, San Diego"
"Marina, San Diego"
"Marston Hills, San Diego"
"Memorial, San Diego"
"Middletown, San Diego"
"Midtown, San Diego"
"Midway, San Diego"
"Mira Mesa, San Diego"
"Miramar, San Diego"
"Mission Beach, San Diego"
"Mission Hills, San Diego"
"Mission Valley, San Diego"
"Morena, San Diego"
"Mount Hope, San Diego"
"Mountain View, San Diego"
"Navajo, San Diego"
"Nestor, San Diego"
"Normal Heights, San Diego"
"North City, San Diego"
"North Park, San Diego"
"Oak Park, San Diego"
Ocean Beach Antique District
"Ocean Beach, San Diego"
"Ocean View Hills, San Diego"
"Old Town, San Diego"
"Otay Mesa West, San Diego"
"Otay Mesa, San Diego"
"Pacific Beach, San Diego"
"Pacific Highlands Ranch, San Diego"
"Palm City, San Diego"
"Paradise Hills, San Diego"
"Point Loma Heights, San Diego"
"Point Loma, San Diego"
"Rancho Bernardo, San Diego"
"Rancho Encantada, San Diego"
"Rancho Peñasquitos, San Diego"
"Redwood Village, San Diego"
"Rolando Park, San Diego"
"Rolando, San Diego"
"Roseville-Fleetridge, San Diego"
"Sabre Springs, San Diego"
"San Carlos, San Diego"
"San Pasqual Valley, San Diego"
"San Ysidro, San Diego"
"Serra Mesa, San Diego"
"Shelltown, San Diego"
"Shelter Island, San Diego"
"Sherman Heights, San Diego"
"Skyline, San Diego"
"Sorrento Mesa, San Diego"
"Sorrento Valley, San Diego"
"South Park, San Diego"
South San Diego
"Southcrest, San Diego"
Southeast San Diego
"Stingaree, San Diego"
"Stockton, San Diego"
"Sunset Cliffs, San Diego"
"Swan Canyon, San Diego"
"Talmadge, San Diego"
"Tierrasanta, San Diego"
"Tijuana River Valley, San Diego"
"Torrey Highlands, San Diego"
"Torrey Hills, San Diego"
"Torrey Pines, San Diego"
"Tri-City, San Diego County, California"
"University City, San Diego"
"University Heights, San Diego"
"Valencia Park, San Diego"
Village of La Jolla
"Webster, San Diego"
"Wooded Area, San Diego"
